Group Name,Aviary Name,Cage,Species Name,Ring no,Gender,Proven,Weight
Conure,Sun Conure  Aviary,A01,Janday Conure,CKR 121,Female,Proven,
Conure,Sun Conure  Aviary,A01,Janday Conure,CKR A 137,Male,Proven,
Conure,Sun Conure  Aviary,A02,Sun Conure,CKR B 157,Male,Proven,
Conure,Sun Conure  Aviary,A02,Sun Conure,GB 3071,Female,Proven,
Conure,Sun Conure  Aviary,A03,Sun Conure,GB 2825,Female,Proven,
Conure,Sun Conure  Aviary,A03,Sun Conure,GB 3195,Male,Proven,
Conure,Sun Conure  Aviary,A04,Sun Conure,CKR D 208,Female,Proven,
Conure,Sun Conure  Aviary,A04,Sun Conure,CKR D 178,Male,Proven,
Conure,Sun Conure  Aviary,A05,Sun Conure,CKR C 332,Female,Proven,
Conure,Sun Conure  Aviary,A05,Sun Conure,CKR D 282,Male,Proven,
Conure,Sun Conure  Aviary,A06,Sun Conure,GB 3070,Female,Proven,
Conure,Sun Conure  Aviary,A06,Sun Conure,CKR B 130,Male,Proven,
Conure,Sun Conure  Aviary,A07,Sun Conure,GB 2902,Female,Proven,
Conure,Sun Conure  Aviary,A07,Sun Conure,GB 3204,Male,Proven,
Conure,Sun Conure  Aviary,A08,Sun Conure,GB 2805,Male,Proven,
Conure,Sun Conure  Aviary,A08,Sun Conure,GB 2915,Female,Proven,
Conure,Sun Conure  Aviary,A09,Sun Conure,CKR 07,NA,Proven,
Conure,Sun Conure  Aviary,A09,Sun Conure,MVR 504,NA,Proven,
Conure,Sun Conure  Aviary,A10,Sun Conure,GB 2872,Male,Proven,
Conure,Sun Conure  Aviary,A10,Sun Conure,CKR B 115,Female,Proven,
Conure,Sun Conure  Aviary,A11,Sun Conure,CKR D 1203,Male,Proven,
Conure,Sun Conure  Aviary,A11,Sun Conure,CKR D 344,Female,Proven,
Conure,Sun Conure  Aviary,A12,Sun Conure,CKR D 841,Female,Proven,
Conure,Sun Conure  Aviary,A12,Sun Conure,GB 2905,Male,Proven,
Conure,Sun Conure  Aviary,A13,Sun Conure,GB 3107,Female,Proven,
Conure,Sun Conure  Aviary,A13,Sun Conure,NO Ring,NA,Proven,
Conure,Sun Conure  Aviary,A14,Sun Conure,GB 3124,Female,Proven,
Conure,Sun Conure  Aviary,A14,Sun Conure,GB 2787,Male,Proven,
Conure,Sun Conure  Aviary,A15,Sun Conure,CKR D 314,Male,Proven,
Conure,Sun Conure  Aviary,A15,Sun Conure,CKR D 290,Female,Proven,
Conure,Sun Conure  Aviary,A16,Sun Conure,GB 2855,Female,Proven,
Conure,Sun Conure  Aviary,A16,Sun Conure,GB 3023,Male,Proven,
Conure,Sun Conure  Aviary,A17,Sun Conure,CKR D 287,Female,Proven,
Conure,Sun Conure  Aviary,A17,Sun Conure,CKR C 350,Male,Proven,
Conure,Sun Conure  Aviary,A18,Sun Conure,GB 3174,Male,Proven,
Conure,Sun Conure  Aviary,A18,Sun Conure,GB 3198,Female,Proven,
Conure,Sun Conure  Aviary,A19,Sun Conure,GB 3072,Female,Proven,
Conure,Sun Conure  Aviary,A19,Sun Conure,GB 2896,Male,Proven,
Conure,Sun Conure  Aviary,A20,Sun Conure,GB 2791,Female,Proven,
Conure,Sun Conure  Aviary,A20,Sun Conure,GB 2941,Male,Proven,
Conure,Sun Conure  Aviary,A21,Sun Conure,CKR C 337,Male,Proven,
Conure,Sun Conure  Aviary,A21,Sun Conure,CKR C 340,Female,Proven,
Conure,Garden,A22,Sun conure,GB2785,Female,Proven,
Conure,Garden,A22,Sun conure,GB 2783,Male,Proven,
Conure,Garden,A23,Sun conure,GB 3022,Male,Proven,
Conure,Garden,A23,Sun conure,GB 2781,female,Proven,
Conure,Garden,A24,Sun conure,Ckr 190,Male,Proven,
Conure,Garden,A24,Sun conure,ckr 2788,Female,Proven,
Conure,Sun Conure  Aviary,A25,Sun Conure,GB 2879,Male,Proven,
Conure,Sun Conure  Aviary,A25,Sun Conure,GB 3175,Female,Proven,
Conure,Sun Conure  Aviary,A26,Sun Conure,GB 2926,Female,Proven,
Conure,Sun Conure  Aviary,A26,Sun Conure,GB 3223,Male,Proven,
Conure,Sun Conure  Aviary,A27,Janday Conure,GF 0 407,Male,Proven,
Conure,Sun Conure  Aviary,A27,Janday Conure,GF 0 403,Female,Proven,
Conure,Sun Conure  Aviary,A28,Sun Conure,GB 2996,Male,Proven,
Conure,Sun Conure  Aviary,A28,Sun Conure,GB 3165,Female,Proven,
Conure,Sun Conure  Aviary,A29,Sun Conure,GB 2778,Female,Proven,
Conure,Sun Conure  Aviary,A29,Sun Conure,GB 2873,Male,Proven,
Conure,Garden,A30,Sun Conure,GB 2865,Male,Proven,
Conure,Garden,A30,Sun Conure,GB 3180,Female,Proven,
Conure,Sun Conure  Aviary,A31,Sun Conure,GB 2875,Male,Proven,
Conure,Sun Conure  Aviary,A31,Sun Conure,GB 3215,Female,Proven,
Conure,Sun Conure  Aviary,A32,Sun Conure,CKR C 339,Male,Proven,
Conure,Sun Conure  Aviary,A32,Sun Conure,CKR D 317,Female,Proven,
Conure,Sun Conure  Aviary,A33,Janday Conure,CKR B 170,Female,Proven,
Conure,Sun Conure  Aviary,A33,Janday Conure,CKR C 245,Male,Proven,
Conure,Sun Conure  Aviary,A34,Sun Conure,GB 2639,Male,Proven,
Conure,Sun Conure  Aviary,A34,Sun Conure,GB 2659,Female,Proven,
Conure,Sun Conure  Aviary,A35,Sun Conure,CKR C 324,Female,Proven,
Conure,Sun Conure  Aviary,A35,Sun Conure,CKR D 843,Male,Proven,
Conure,Sun Conure  Aviary,A36,Sun Conure,CKR C 251,Male,Proven,
Conure,Sun Conure  Aviary,A36,Sun Conure,CKR C 256,Female,Proven,
Conure,Sun Conure  Aviary,A37,Sun Conure,CKR 278,NA,Proven,
Conure,Sun Conure  Aviary,A37,Sun Conure,JB 03-067,NA,Proven,
Conure,Sun Conure  Aviary,A38,Janday Conure,CKR A 143,Male,Proven,
Conure,Sun Conure  Aviary,A38,Janday Conure,GB 3339,Female,Proven,
Conure,Sun Conure  Aviary,A39,Sun Conure,CKR D 1064,Female,Proven,
Conure,Sun Conure  Aviary,A39,Sun Conure,CKR D 233,Male,Proven,
Conure,Sun Conure  Aviary,A40,Sun Conure,GB 3189,Female,Proven,
Conure,Sun Conure  Aviary,A40,Sun Conure,VRS 66,Male,Proven,
Conure,Sun Conure  Aviary,A41,Sun Conure,GB 2719,Male,Proven,
Conure,Sun Conure  Aviary,A41,Sun Conure,GB 2955,Female,Proven,
Conure,Sun Conure  Aviary,A42,Sun Conure,GB 2649,Female,Proven,
Conure,Sun Conure  Aviary,A42,Sun Conure,GB 2895,Male,Proven,
Parrot,Sun Conure  Aviary,A43,Caique,CKR 30,Male,Proven,
Parrot,Sun Conure  Aviary,A43,Caique,CKR B 196,Female,Proven,
Conure,Sun Conure  Aviary,A44,Sun Conure,GB 3076,Female,Proven,
Conure,Sun Conure  Aviary,A44,Sun Conure,GB 3220,Male,Proven,
Conure,Sun Conure  Aviary,A45,Sun Conure,CKR D 293,Female,Proven,
Conure,Sun Conure  Aviary,A45,Sun Conure,CKR C 133,Male,Proven,
Conure,Sun Conure  Aviary,A46,Sun Conure,CKRB 191,Female,Proven,
Conure,Sun Conure  Aviary,A46,Sun Conure,GB 3211,Male,Proven,
Conure,Sun Conure  Aviary,A47,Sun Conure,CKR D 154,Female,Proven,
Conure,Sun Conure  Aviary,A47,Sun Conure,CKR D 372,Male,Proven,
Conure,Sun Conure  Aviary,A48,Sun Conure,CKR C 325,Male,Proven,
Conure,Sun Conure  Aviary,A48,Sun Conure,CKR C 331,Female,Proven,
Conure,Sun Conure  Aviary,A49,Sun Conure,CKR D 1221,Female,Proven,
Conure,Sun Conure  Aviary,A49,Sun Conure,CKR D 1213,Male,Proven,
Conure,Sun Conure  Aviary,A50,Sun Conure,CKR D 161,Female,Proven,
Conure,Sun Conure  Aviary,A50,Sun Conure,CKR D 894,Male,Proven,
Conure,Sun Conure  Aviary,A51,Sun Conure,CKR D 214,Female,Proven,
Conure,Sun Conure  Aviary,A51,Sun Conure,CKR D 303,Male,Proven,
Conure,Sun Conure  Aviary,A52,Sun Conure,GB 2602,Female,Proven,
Conure,Sun Conure  Aviary,A52,Sun Conure,GB 2773,Male,Proven,
Conure,Sun Conure  Aviary,A53,Janday Conure,CKR C 141,Female,Proven,
Conure,Sun Conure  Aviary,A53,Janday Conure,JF 405,Male,Proven,
Conure,Sun Conure  Aviary,A54,Sun Conure,GB 2790,Female,Proven,
Conure,Sun Conure  Aviary,A54,Sun Conure,SATHISH 16,Male,Proven,
Conure,Sun Conure  Aviary,A55,Sun Conure,GB 3186,Male,Proven,
Conure,Sun Conure  Aviary,A55,Sun Conure,SATHISH 18,Female,Proven,
Conure,Sun Conure  Aviary,A56,Sun Conure,GB 2898,Male,Proven,
Conure,Sun Conure  Aviary,A56,Sun Conure,GB 2933,Female,Proven,
Conure,Sun Conure  Aviary,B01,Sun Conure,GB 2725,Female,Proven,
Conure,Sun Conure  Aviary,B01,Sun Conure,GB 2765,Male,Proven,
Conure,Sun Conure  Aviary,B02,Sun Conure,CKR C 221,Male,Proven,
Conure,Sun Conure  Aviary,B02,Sun Conure,CKR D 316,Female,Proven,
Conure,Sun Conure  Aviary,B03,Sun Conure,GB 2871,Female,Proven,
Conure,Sun Conure  Aviary,B03,Sun Conure,GB 3167,Male,Proven,
Conure,Sun Conure  Aviary,B04,Sun Conure,CKR D 216,Male,Proven,
Conure,Sun Conure  Aviary,B04,Sun Conure,CKR D 1380,Female,Proven,
Parrot,Sun Conure  Aviary,B05,Red Belly,CKRB 211,,Proven,
Parrot,Sun Conure  Aviary,B05,Red Belly,266,,Proven,
Conure,Sun Conure  Aviary,B06,Sun Conure,GB 3059,Male,Proven,
Conure,Sun Conure  Aviary,B06,Sun Conure,CPC 143,Female,Proven,
Conure,Sun Conure  Aviary,B07,Sun Conure,CKR B 131,Male,Proven,
Conure,Sun Conure  Aviary,B07,Sun Conure,GB 3096,Female,Proven,
Parrot,Sun Conure  Aviary,B08,Cape Parrot,CKR 52,Female,Proven,
Parrot,Sun Conure  Aviary,B08,Cape Parrot,CKR A061,Male,Proven,
Conure,Sun Conure  Aviary,B09,Sun Conure,GB 3213,Female,Proven,
Conure,Sun Conure  Aviary,B09,Sun Conure,GB 2982,Male,Proven,
Conure,Sun Conure  Aviary,B10,Sun Conure,GB 3222,Female,Proven,
Conure,Sun Conure  Aviary,B10,Sun Conure,GB 2899,Male,Proven,
Conure,Sun Conure  Aviary,B11,Sun Conure,GB 2754,Male,Proven,
Conure,Sun Conure  Aviary,B11,Sun Conure,GB 2759,Female,Proven,
Conure,Sun Conure  Aviary,B12,Sun Conure,GB 2701,Male,Proven,
Conure,Sun Conure  Aviary,B12,Janday Conure,GB 3332,Female,Proven,
Conure,Sun Conure  Aviary,B13,Sun Conure,GB 3097,Female,Proven,
Conure,Sun Conure  Aviary,B13,Sun Conure,GB 2810,Male,Proven,
Conure,Sun Conure  Aviary,B14,Sun Conure,GB 2698,Male,Proven,
Conure,Sun Conure  Aviary,B14,Sun Conure,GB 2780,Female,Proven,
Conure,Sun Conure  Aviary,B15,Janday Conure,GB 3333,Female,Proven,
Conure,Sun Conure  Aviary,B15,Janday Conure,CKR C 258,Male,Proven,
Conure,Sun Conure  Aviary,B16,Sun Conure,ACE IND 153,Female,Proven,
Conure,Sun Conure  Aviary,B16,Sun Conure,CKR D 300,Male,Proven,
Conure,Sun Conure  Aviary,B17,Sun Conure,GB 2718,Female,Proven,
Conure,Sun Conure  Aviary,B17,Sun Conure,GB 2891,Male,Proven,
Conure,Sun Conure  Aviary,B18,Sun Conure,GB 2767,Male,Proven,
Conure,Sun Conure  Aviary,B18,Sun Conure,NAGU 14,Female,Proven,
Conure,Sun Conure  Aviary,B19,Sun Conure,GB 3168,Female,Proven,
Conure,Sun Conure  Aviary,B19,Sun Conure,GB 2819,Male,Proven,
Conure,Sun Conure  Aviary,B20,Sun Conure,CKR B 154,Female,Proven,
Conure,Sun Conure  Aviary,B20,Sun Conure,GB 2815,Male,Proven,
Conure,Sun Conure  Aviary,B21,Sun Conure,GB 3116,Female,Proven,
Conure,Sun Conure  Aviary,B21,Sun Conure,GB 3127,Male,Proven,
Conure,Sun Conure  Aviary,B22,Sun Conure,GB 2714,Male,Proven,
Conure,Sun Conure  Aviary,B22,Sun Conure,GB 2747,Female,Proven,
Conure,Sun Conure  Aviary,B23,Sun Conure,GB 2735,Male,Proven,
Conure,Sun Conure  Aviary,B23,Sun Conure,GB 2776,Female,Proven,
Conure,Sun Conure  Aviary,B24,Sun Conure,GB 2636,Male,Proven,
Conure,Sun Conure  Aviary,B24,Janday Conure,GB 3334,Female,Proven,
Conure,Sun Conure  Aviary,B25,Sun Conure,GB 3099,Female,Proven,
Conure,Sun Conure  Aviary,B25,Sun Conure,GB 2853,Male,Proven,
Conure,Sun Conure  Aviary,B26,Sun Conure,GB 2892,Male,Proven,
Conure,Sun Conure  Aviary,B26,Sun Conure,GB 2932,Female,Proven,
Conure,Sun Conure  Aviary,B27,Sun Conure,CKR B 184,Female,Proven,
Conure,Sun Conure  Aviary,B27,Sun Conure,GB 2730,Male,Proven,
Conure,Sun Conure  Aviary,B28,Sun Conure,GB 2724,Female,Proven,
Conure,Sun Conure  Aviary,B28,Sun Conure,GB 2942,Male,Proven,
Conure,Sun Conure  Aviary,B29,Sun Conure,GB 2700,Female,Proven,
Conure,Sun Conure  Aviary,B29,Sun Conure,GB 2807,Male,Proven,
Conure,Sun Conure  Aviary,B30,Sun Conure,GB 2702,Male,Proven,
Conure,Sun Conure  Aviary,B30,Sun Conure,GB 2823,Female,Proven,
Conure,Sun Conure  Aviary,B31,Sun Conure,CKR 279,Female,Proven,
Conure,Sun Conure  Aviary,B31,Sun Conure,CKR A 442,Male,Proven,
Conure,Sun Conure  Aviary,B32,Sun Conure,GB 2874,Male,Proven,
Conure,Sun Conure  Aviary,B32,Sun Conure,GB 3126,Female,Proven,
Conure,Sun Conure  Aviary,B33,Janday Conure,CKR 53,Male,Proven,
Conure,Sun Conure  Aviary,B33,Janday Conure,CKR B 136,Female,Proven,
Conure,Garden,B34,Sun conure,GD 2720,Female,Proven,
Conure,Garden,B34,Sun conure,GD 2883,Male,Proven,
Conure,Sun Conure  Aviary,B35,Sun Conure,GB 2827,Male,Proven,
Conure,Sun Conure  Aviary,B35,Sun Conure,CKR A 352,Female,Proven,
Conure,Sun Conure  Aviary,B36,Sun Conure,GB 2937,Female,Proven,
Conure,Sun Conure  Aviary,B36,Sun Conure,GB 2939,Male,Proven,
Conure,Sun Conure  Aviary,B37,Sun Conure,CKR C 276,Female,Proven,
Conure,Sun Conure  Aviary,B37,Sun Conure,GB 2894,Male,Proven,
Conure,Sun Conure  Aviary,B38,Sun Conure,GB 3047,Male,Proven,
Conure,Sun Conure  Aviary,B38,Janday Conure,GB 3323,Female,Proven,
Conure,Garden,B39,Sun conure,Ckr 153,Female,Proven,
Conure,Garden,B39,Sun conure,GB 2956,Male,Proven,
Conure,Sun Conure  Aviary,B40,Sun Conure,GB 2893,Male,Proven,
Conure,Sun Conure  Aviary,B40,Sun Conure,GB 3080,Female,Proven,
Conure,Sun Conure  Aviary,B41,Sun Conure,GB 2914,Male,Proven,
Conure,Sun Conure  Aviary,B41,Sun Conure,GB 3068,Female,Proven,
Conure,Sun Conure  Aviary,B42,Sun Conure,CKR D 320,Male,Proven,
Conure,Sun Conure  Aviary,B42,Sun Conure,CKR D 1381,Female,Proven,
Conure,Sun Conure  Aviary,B43,Crimson Bellied conure,HAISHL 066,Female,Proven,
Conure,Sun Conure  Aviary,B43,Crimson Bellied conure,SIVA 529,Male,Proven,
Conure,Sun Conure  Aviary,B44,Red Fronted Conure,CKR 373,Male,Proven,
Conure,Sun Conure  Aviary,B44,Red Fronted Conure,JJC 005,Female,Proven,
Conure,Sun Conure  Aviary,B45,Sun Conure,GB 3196,Male,Proven,
Conure,Sun Conure  Aviary,B45,Sun Conure,GB 3208,Female,Proven,
Conure,Sun Conure  Aviary,B46,Nanday Conure,CKR 078,Male,Proven,
Conure,Sun Conure  Aviary,B46,Nanday Conure,CKR B 047,Female,Proven,
Conure,Sun Conure  Aviary,B47,Sun Conure,GB 2822,Female,Proven,
Conure,Sun Conure  Aviary,B47,Sun Conure,GB 2631,Male,Proven,
Conure,Sun Conure  Aviary,B48,Nanday Conure,CKR A 167,Female,Proven,
Conure,Sun Conure  Aviary,B48,Nanday Conure,CKR B 139&133,Male,Proven,
Conure,Sun Conure  Aviary,B49,Nansun Conure,CKR B 232,Male,Proven,
Conure,Sun Conure  Aviary,B49,Nansun Conure,CKR B 237,Female,Proven,
Pionus,Sun Conure  Aviary,B50,Bronze wing pionus,JK 01 2 (or) 7,Female,Proven,
Pionus,Sun Conure  Aviary,B50,Bronze wing pionus,LV 08 80 H 1,Male,Proven,
Conure,Sun Conure  Aviary,B51,Nanday Conure,CKR B 046,Male,Proven,
Conure,Sun Conure  Aviary,B51,Nanday Conure,CKR B 193,Female,Proven,
Conure,Sun Conure  Aviary,B52,Nanday Conure,CKR 374,Male,Proven,
Conure,Sun Conure  Aviary,B52,Nanday Conure,CKR A 169,Female,Proven,
Conure,Sun Conure  Aviary,B53,Sun Conure,GB 2736,Male,Proven,
Conure,Sun Conure  Aviary,B53,Sun Conure,GB 3050,Female,Proven,
Conure,Sun Conure  Aviary,B54,Sun Conure,CKR D 315,Female,Proven,
Conure,Sun Conure  Aviary,B54,Sun Conure,CKR D 1073,Male,Proven,
Conure,Sun Conure  Aviary,B55,Nansun Conure,CKR C 252,Male,Proven,
Conure,Sun Conure  Aviary,B55,Nansun Conure,CKR C 338,Female,Proven,
Conure,Sun Conure  Aviary,B56,Sun Conure,GB 2571,Female,Proven,
Conure,Sun Conure  Aviary,B56,Sun Conure,GB 2689,Male,Proven,
Conure,Cockatoo Aviary,C01,Sun Conure,CKRE 1604,Male,Semi Adult,
Conure,Cockatoo Aviary,C01,Sun Conure,CKRE 1553,Female,Semi Adult,
Conure,Cockatoo Aviary,C01,Sun Conure,CKRE 1077,Female,Semi Adult,
Conure,Cockatoo Aviary,C01,Sun Conure,CKRD 1261,Male,Semi Adult,
Conure,Cockatoo Aviary,C01,Sun Conure,CKRE 1969,Female,Semi Adult,
Conure,Cockatoo Aviary,C01,Sun Conure,CKRD 1252,Male,Semi Adult,
Conure,Cockatoo Aviary,C01,Sun Conure,CKRE 1267,Female,Semi Adult,
Conure,Cockatoo Aviary,C01,Sun Conure,CKRE 1722,Female,Semi Adult,
Conure,Cockatoo Aviary,C01,Sun Conure,CKRE 1332,Male,Semi Adult,
Conure,Cockatoo Aviary,C01,Sun Conure,CKRE 1329,Female,Semi Adult,
Conure,Macaw Aviary,C02,Sun @jandayconure,CKR E 2133,,Semi Adult,
Conure,Macaw Aviary,C02,Sun Conure,CKR E 2107,,Semi Adult,
Conure,Macaw Aviary,C02,Sun Conure,CKR E 2104,,Semi Adult,
Conure,Macaw Aviary,C02,Sun Conure,CKR E 2072,,Semi Adult,
Conure,Macaw Aviary,C02,Sun Conure,CKR E 2085,,Semi Adult,
Conure,Macaw Aviary,C02,Sun Conure,CKR E 2086,,Semi Adult,
Conure,Macaw Aviary,C02,Sun Conure,CKR E 2109,,Semi Adult,
Conure,Macaw Aviary,C02,Sun Conure,CKR E 2080,,Semi Adult,
Conure,Macaw Aviary,C02,Sun Conure,CKR E 2089,,Semi Adult,
Conure,Macaw Aviary,C02,Sun Conure,CKR E 2087,,Semi Adult,
Conure,Cockatoo Aviary,C03,Sun Conure,CKRE 1972,NA,Semi Adult,
Conure,Cockatoo Aviary,C03,Sun Conure,CKRE 1326,,Semi Adult,
Conure,Cockatoo Aviary,C03,Sun Conure,CKRE 1611,,Semi Adult,
Conure,Cockatoo Aviary,C03,Sun Conure,CKRE 1612,,Semi Adult,
Conure,Cockatoo Aviary,C03,Sun Conure,CKRE 1334,,Semi Adult,
Conure,Cockatoo Aviary,C03,Sun Conure,CKRE 1966,NA,Semi Adult,
Conure,Cockatoo Aviary,C03,Sun Conure,CKRE 1957,Male,Semi Adult,
Conure,Cockatoo Aviary,C03,Sun Conure,CKRE 1258,NA,Semi Adult,
Conure,Cockatoo Aviary,C03,Sun Conure,CKRE 1609,NA,Semi Adult,
Conure,Cockatoo Aviary,C03,Sun Conure,CKRE 1134,,Semi Adult,
Conure,Cockatoo Aviary,C04,Sun Conure,CKRE 1586,Female,Semi Adult,
Conure,Cockatoo Aviary,C04,Sun Conure,CKRE 1581,Male,Semi Adult,
Conure,Cockatoo Aviary,C04,Sun Conure,CKRE 1551,Male,Semi Adult,
Conure,Cockatoo Aviary,C04,Sun Conure,CKRE 1301,NA,Semi Adult,
Conure,Cockatoo Aviary,C04,Sun Conure,CKRF 118,Female,Semi Adult,
Conure,Cockatoo Aviary,C04,Sun Conure,CKRE 1324,,Semi Adult,
Conure,Cockatoo Aviary,C04,Sun Conure,CKRE 1951,NA,Semi Adult,
Conure,Cockatoo Aviary,C04,Sun Conure,CKRE 1076,Male,Semi Adult,
Conure,Cockatoo Aviary,C04,Sun Conure,CKRF 200,Male,Semi Adult,
Conure,Cockatoo Aviary,C05,Sun Conure,CKRE 1273,Male,Semi Adult,
Conure,Cockatoo Aviary,C05,Sun Conure,CKRE 1314,Male,Semi Adult,
Conure,Cockatoo Aviary,C05,Sun Conure,CKRF 810,Female,Semi Adult,
Conure,Cockatoo Aviary,C05,Sun Conure,CKRF 105,Female,Semi Adult,
Conure,Cockatoo Aviary,C05,Sun Conure,CKRF 125,Male,Semi Adult,
Conure,Cockatoo Aviary,C05,Sun Conure,CKRF 1327,Male,Semi Adult,
Conure,Cockatoo Aviary,C05,Sun Conure,CKRF 111,Male,Semi Adult,
Conure,Cockatoo Aviary,C05,Sun Conure,No Ring,,Semi Adult,
Conure,Cockatoo Aviary,C05,Sun Conure,CKRF 194,,Semi Adult,
Conure,Cockatoo Aviary,C05,Sun Conure,CKRE 2036,Male,Semi Adult,
Conure,Cockatoo Aviary,C06,Sun Conure,CKRF 195,Female,Semi Adult,
Conure,Cockatoo Aviary,C06,Sun Conure,CKRF 158,Male,Semi Adult,
Conure,Cockatoo Aviary,C06,Sun Conure,CKRF 988,Female,Semi Adult,
Conure,Cockatoo Aviary,C06,Sun Conure,CKRF 904,Male,Semi Adult,
Conure,Cockatoo Aviary,C06,Sun Conure,CKRF 846,Female,Semi Adult,
Conure,Cockatoo Aviary,C06,Sun Conure,CKRF 835,Female,Semi Adult,
Conure,Cockatoo Aviary,C06,Sun Conure,CKRF 845,Male,Semi Adult,
Conure,Cockatoo Aviary,C06,Sun Conure,CKRF 814,Male,Semi Adult,
Conure,Cockatoo Aviary,C06,Sun Conure,CKRF 190,Female,Semi Adult,
Conure,Cockatoo Aviary,C06,Sun Conure,CKRF 874,Female,Semi Adult,
