Group Name,Aviary Name,Cage,Species Name,Male Parent Ring no,Female Parent Ring no,Egg no,Date of incubation,Egg type,Date of fertile,Remark,Pip Weight,Pip Date,Hatch Weight,Hatch Date,Shell weight,Hatch Type,Shell Thick,Dis type,Dis Date,Egg weight
Conure,Sun Conure,B03,Sun Conure,GB3167,GB2871,6512,02-04-2022,DIS,09-04-2022,,,,,,,,,Late,23-04-2022,8.4
Conure,Sun Conure,B26,Sun Conure,GB2892,GB2932,6513,02-04-2022,Fertile,09-04-2022,,7.8,19-04-2022,6.01,21-04-2022,0.92,Assist,0.3,,,8.49
Conure,Sun Conure,B26,Sun Conure,GB2892,GB2932,6514,02-04-2022,Fertile,09-04-2022,,7.49,23-04-2022,5.8,25-04-2022,0.55,Assist,0.3,,,8.85
Conure,Sun Conure,B03,Sun Conure,GB3167,GB2871,6515,02-04-2022,Fertile,09-04-2022,,6.46,21-04-2022,5.27,22-04-2022,0.61,Normal,0.3,,,7.52
Conure,Sun Conure,B33,Janday Conure,CKR53,CKRB136,6516,02-04-2022,DIS,09-04-2022,,,,,,,,,Late,15-04-2022,7.99
Conure,Sun Conure,B33,Janday Conure,CKR53,CKRB136,6517,02-04-2022,Fertile,09-04-2022,,7.21,21-04-2022,5.92,22-04-2022,0.74,Normal,0.3,,,8.91
Conure,Sun Conure,A35,Sun Conure,CKRD843,CKRC324,6518,02-04-2022,DIS,09-04-2022,,,,,,,,,Late,23-04-2022,6.03
Conure,Sun Conure,A41,Sun Conure,GB2719,GB2955,6519,02-04-2022,Infertile,,,,,,,,,,,,4.79
Conure,Sun Conure,A41,Sun Conure,GB2719,GB2955,6520,02-04-2022,Fertile,09-04-2022,,5.26,23-04-2022,3.93,25-04-2022,0.46,Assist,0.2,,,6.48
Conure,Lory,K08,Sun Conure,CKRE1706,CKRE1139,6521,02-04-2022,DIS,09-04-2022,,,,,,,,,Late,21-04-2022,8.24
Lorikeet,Lory,G28,Olive Swainson Lorikeet,CKRD509,,6522,02-04-2022,Infertile,,,,,,,,,,,,5.72
Lorikeet,Lory,G28,Olive Swainson Lorikeet,CKRD509,,6523,02-04-2022,Infertile,,,,,,,,,,,,5.75
Lorikeet,Lory,F37,Olive Swainson Lorikeet,CKRD1421,7000,6524,02-04-2022,Infertile,,,,,,,,,,,,6.52
Lorikeet,Lory,F45,Olive Swainson Lorikeet,7L6678,T0660192,6525,02-04-2022,Infertile,,,,,,,,,,,,6.59
Lorikeet,Lory,F45,Olive Swainson Lorikeet,7L6678,T0660192,6526,02-04-2022,Infertile,,,,,,,,,,,,6.58
Lorikeet,Lory,E42,Swainson Lorikeet,CKRA438,CKRA435,6527,02-04-2022,Infertile,,,,,,,,,,,,7.72
Lorikeet,Lory,D41,Swainson Lorikeet,CKRD1481,CKRD1562,6528,02-04-2022,Infertile,,,,,,,,,,,,7.57
Lorikeet,Lory,D41,Swainson Lorikeet,CKRD1481,CKRD1562,6529,02-04-2022,Infertile,,,,,,,,,,,,8.03
Lory,Lory,D40,redlory ,ABW3899,ABW5146,6530,02-04-2022,DIS,09-04-2022,,9.85,23-04-2022,,,,,,Late,25-04-2022,10.15
Lory,Lory,D40,redlory ,ABW3899,ABW5146,6531,02-04-2022,Fertile,09-04-2022,,6.96,26-04-2022,6.65,29-04-2022,0.42,Normal,0.2,,,9.39
Lory,Lory,E39,redlory ,YUV40,PABW324,6532,02-04-2022,Fertile,09-04-2022,,8.03,23-04-2022,6.29,24-04-2022,0.62,Normal,0.3,,,8.92
Lory,Lory,E39,redlory ,YUV40,PABW324,6533,02-04-2022,Fertile,09-04-2022,,8.13,25-04-2022,6.26,27-04-2022,,Normal,,,,9.18
Lorikeet,Lory,D39,Olive Swainson Lorikeet + Swainson Lorikeet,CKR228,CKR378,6534,02-04-2022,Fertile,09-04-2022,,8.06,23-04-2022,6.08,25-04-2022,0.6,Normal,0.2,,,8.72
Lorikeet,Lory,E36,Olive Swainson Lorikeet,CKRD1476,CKRB114,6535,02-04-2022,Fertile,09-04-2022,,6.2,21-04-2022,5.04,23-04-2022,0.54,Normal,0.2,,,7
Lory,Lory,E30,redlory ,ABW5145,ABW5158,6536,02-04-2022,DIS,09-04-2022,,,,,,,,,Late,22-04-2022,7.69
Lorikeet,Lory,E28,Swainson Lorikeet,CKR364,CKRB107,6537,02-04-2022,Fertile,09-04-2022,,7.87,23-04-2022,6.06,25-04-2022,0.76,Normal,0.2,,,8.76
Lorikeet,Lory,E24,Red Collared Lorikeet,GYYYO5078,4l7858,6538,02-04-2022,Infertile,,,,,,,,,,,,7.77
Lorikeet,Lory,D24,Olive Swainson Lorikeet,CKRB215,TSNZ80,6539,02-04-2022,Fertile,09-04-2022,,6.47,21-04-2022,5.3,23-04-2022,0.56,Normal,0.2,,,7.42
Lory,Lory,E23,redlory ,ABW5142,ABW5160,6540,02-04-2022,Fertile,09-04-2022,,8.45,23-04-2022,6.6,25-04-2022,1.26,Normal,0.3,,,9.27
Lorikeet,Lory,E10,Swainson Lorikeet,CKRC369,CKRC263,6541,02-04-2022,Fertile,09-04-2022,,7.5,21-04-2022,5.92,23-04-2022,0.64,Normal,0.3,,,8.29
Lorikeet,Lory,D09,Olive Swainson Lorikeet,7DNG4300,ct0097,6542,02-04-2022,Fertile,09-04-2022,,6.49,23-04-2022,5.17,24-04-2022,0.82,Normal,0.2,,,7.39
Lorikeet,Lory,D09,Olive Swainson Lorikeet,7DNG4300,ct0097,6543,02-04-2022,Fertile,09-04-2022,,5.78,21-04-2022,4.65,23-04-2022,0.58,Normal,0.2,,,6.62
Lorikeet,Lory,E05,Red Collared Lorikeet,CKRC225,CKRB149,6544,02-04-2022,Fertile,09-04-2022,,7.61,23-04-2022,6.08,25-04-2022,0.82,Normal,0.2,,,8.16
Lorikeet,Lory,E04,Swainson Lorikeet,CKRC365,CKRC241,6545,02-04-2022,Fertile,09-04-2022,,7.57,25-04-2022,5.7,27-04-2022,0.96,Normal,0.3,,,8.32
Lorikeet,Lory,E04,Swainson Lorikeet,CKRC365,CKRC241,6546,02-04-2022,Fertile,09-04-2022,,7.48,21-04-2022,6,23-04-2022,0.56,Normal,0.2,,,8.16
Lorikeet,Lory,D36,Green Napped Lorikeet,7NG2122,BH7318,6547,02-04-2022,Fertile,09-04-2022,,,,5.1,26-04-2022,0.48,Assist,0.2,,,7.18
Conure,Sun Conure,B12,Sun & Janday Conure,GB2701,GB3332,6548,04-04-2022,Fertile,11-04-2022,,7.65,25-04-2022,6,28-04-2022,0.96,Normal,0.2,,,8.61
Conure,Sun Conure,A32,Sun Conure,CKRC339,CKRD317,6549,04-04-2022,Fertile,11-04-2022,,6.78,24-04-2022,5.34,26-04-2022,0.86,Assist,0.2,,,8.06
Conure,Sun Conure,A41,Sun Conure,GB2719,GB2955,6550,04-04-2022,Fertile,11-04-2022,,5.5,26-04-2022,4.16,29-04-2022,0.62,Normal,0.2,,,6.18
Lorikeet,Lory,F37,Olive Swainson Lorikeet,CKRD1421,7000,6551,04-04-2022,Infertile,,,,,,,,,,,,7.49
Lorikeet,Lory,D48,Red Collared Lorikeet,CKRC303,CKRC291,6552,04-04-2022,Fertile,11-04-2022,,5.87,25-04-2022,3.89,27-04-2022,0.47,Assist,0.3,,,6.08
Lorikeet,Lory,D46,Red Collared Lorikeet,MVF845,BB858/11-126,6553,04-04-2022,Infertile,,,,,,,,,,,,6.08
Lorikeet,Lory,E37,Green Napped Lorikeet,YUV304,YUV398,6554,04-04-2022,Fertile,11-04-2022,,5.23,26-04-2022,3.69,29-04-2022,0.59,Normal,0.2,,,5.95
Lorikeet,Lory,D36,Green Napped Lorikeet,7NG2122,BH7318,6555,04-04-2022,Fertile,11-04-2022,,5.79,26-04-2022,4.74,28-04-2022,0.46,Normal,0.2,,,6.72
Lory,Lory,E30,redlory ,ABW5145,ABW5158,6556,04-04-2022,Fertile,11-04-2022,,5.97,27-04-2022,4.92,28-04-2022,0.75,Normal,0.2,,,8.15
Lorikeet,Lory,E28,Swainson Lorikeet,CKR364,CKRB107,6557,04-04-2022,Fertile,11-04-2022,,7.96,26-04-2022,6.2,29-04-2022,0.63,Normal,0.2,,,8.88
Lorikeet,Lory,D24,Olive Swainson Lorikeet,CKRB215,TSNZ80,6558,04-04-2022,Fertile,11-04-2022,,7.14,25-04-2022,5.38,27-04-2022,0.69,,0.3,,,7.94
Lory,Lory,E23,redlory ,ABW5142,ABW5160,6559,04-04-2022,Fertile,11-04-2022,,7.45,28-04-2022,5.9,29-04-2022,0.68,Assist,0.2,,,9.08
Lorikeet,Lory,E10,Swainson Lorikeet,CKRC369,CKRC263,6560,04-04-2022,Fertile,11-04-2022,,7.22,24-04-2022,5.73,26-04-2022,0.91,Normal,0.2,,,8.05
Lorikeet,Lory,E05,Red Collared Lorikeet,CKRC225,CKRB149,6561,04-04-2022,DIS,11-04-2022,,,,,,,,,Late,25-04-2022,7.42
Conure,Lory,H04,Sun Conure,CKRE1302,CKRE1626,6562,04-04-2022,Broken,,,,,,,,,,,,
Conure,Sun Conure,B03,Sun Conure,GB3167,GB2871,6563,11-04-2022,Fertile,18-04-2022,,,,5.38,30-04-2022,0.5,Normal,0.3,,,7.9
Conure,Sun Conure,B03,Sun Conure,GB3167,GB2871,6564,11-04-2022,DIS,18-04-2022,,,,,,,,,Early,19-04-2022,8.03
Conure,Sun Conure,B12,Sun & Janday Conure,GB2701,GB3332,6565,11-04-2022,DIS,15-04-2022,,,,,,,,,Early,18-04-2022,8.82
Conure,Sun Conure,B12,Sun & Janday Conure,GB2701,GB3332,6566,11-04-2022,Fertile,18-04-2022,,7.7,27-04-2022,6.1,29-04-2022,1.12,Normal,0.3,,,8.59
Conure,Sun Conure,B26,Sun Conure,GB2892,GB2932,6567,11-04-2022,Fertile,18-04-2022,,4.84,28-04-2022,3.47,29-04-2022,0.48,Assist,0.2,,,5.84
Conure,Sun Conure,A41,Sun Conure,GB2719,GB2955,6568,11-04-2022,Fertile,18-04-2022,,5,28-04-2022,4.01,30-04-2022,0.74,Assist,0.3,,,5.68
Conure,Sun Conure,A41,Sun Conure,GB2719,GB2955,6569,11-04-2022,DIS,18-04-2022,,,,,,,,,Mid,22-04-2022,5.99
Parrot,Sun Conure,A43,Caique,CKR30,CKRB196,6570,11-04-2022,Fertile,18-04-2022,,10.5,04-05-2022,8.16,06-05-2022,1.11,Normal,0.3,,,12.05
Conure,Sun Conure,A56,Sun Conure,GB2898,GB2933,6571,11-04-2022,Infertile,,,,,,,,,,,,7.3
Lory,Lory,E09,Black Capped Lory,SUNIL664,Sunil637,6572,11-04-2022,Fertile,18-04-2022,,,,5.58,02-05-2022,0.63,Assist,0.3,,,9.24
Lory,Lory,E09,Black Capped Lory,SUNIL664,Sunil637,6573,11-04-2022,Fertile,18-04-2022,,8.54,02-05-2022,6.8,04-05-2022,0.8,Normal,0.3,,,9.56
Lorikeet,Lory,D28,Scaly Breasted Lorikeet,GF0346,CKRA158,6574,11-04-2022,Fertile,18-04-2022,5,4.57,28-04-2022,3.72,29-04-2022,0.45,Normal,0.2,,,5.12
Lorikeet,Lory,D28,Scaly Breasted Lorikeet,GF0346,CKRA158,6575,11-04-2022,Infertile,,,,,,,,,,,,3.02
Lorikeet,Lory,D30,Swainson Lorikeet,CKRA480,CKRA417,6576,11-04-2022,DIS,16-04-2022,,,,,,,,,Early,18-04-2022,7
Lorikeet,Lory,D33,Swainson Lorikeet,SA256,CKRB050,6577,11-04-2022,Fertile,18-04-2022,,6.32,01-05-2022,5.17,03-05-2022,0.58,Normal,0.2,,,7.28
Lorikeet,Lory,E34,Swainson Lorikeet,CKR221,CKR361,6578,11-04-2022,Infertile,,,,,,,,,,,,7.78
Lorikeet,Lory,E34,Swainson Lorikeet,CKR221,CKR361,6579,11-04-2022,Infertile,,,,,,,,,,,,7.6
Lorikeet,Lory,E34,Swainson Lorikeet,CKR221,CKR361,6580,11-04-2022,Infertile,,,,,,,,,,,,7.06
Lorikeet,Lory,E37,Green Napped Lorikeet,YUV304,YUV398,6581,11-04-2022,Fertile,18-04-2022,,5.19,30-04-2022,3.88,01-05-2022,0.53,Normal,0.2,,,5.93
Lorikeet,Lory,D38,Red Collared Lorikeet,HL7810,CKR182/TE4550,6582,11-04-2022,Infertile,,,,,,,,,,,,6.8
Lorikeet,Lory,D38,Red Collared Lorikeet,HL7810,CKR182/TE4550,6583,11-04-2022,Fertile,18-04-2022,,6.56,01-05-2022,5.21,03-05-2022,0.8,Normal,0.2,,,6.19
Lorikeet,Lory,E42,Swainson Lorikeet,CKRA438,CKRA435,6584,11-04-2022,Infertile,,,,,,,,,,,,8
Lorikeet,Lory,E43,Red Collared Lorikeet,CKRC315,CKRC294,6585,11-04-2022,DIS,18-04-2022,,,,,,,,,Early,19-04-2022,7.21
Lorikeet,Lory,F33,Olive Swainson Lorikeet,CKRD1576,7L6697,6586,11-04-2022,Infertile,,,,,,,,,,,,5.75
Lorikeet,Lory,D46,Red Collared Lorikeet,MVF845,BB858/11-126,6587,11-04-2022,Infertile,,,,,,,,,,,,6
Lorikeet,Lory,D48,Red Collared Lorikeet,CKRC303,CKRC291,6588,11-04-2022,DIS,11-04-2022,,,,,,,,,Early,18-04-2022,6.38
Conure,Lory,A56,Sun Conure,GB2898,GB2933,6589,11-04-2022,Fertile,18-04-2022,,6,03-05-2022,,07-05-2022,0.85,Assist,0.2,,,7
Parrot,Sun Conure,B05,Red Belly,CKRB211,266,6590,15-04-2022,Fertile,22-04-2022,,8.78,08-05-2022,,,,,,,,9.56
Conure,Sun Conure,B12,Sun & Janday Conure,GB2701,GB3332,6591,15-04-2022,Fertile,22-04-2022,,7.12,03-05-2022,5.46,07-05-2022,0.62,Assist,0.2,,,7.76
Conure,Sun Conure,A32,Sun Conure,CKRC339,CKRD317,6592,15-04-2022,Fertile,22-04-2022,,7.97,28-04-2022,6.48,29-04-2022,0.79,Assist,0.3,,,8.64
Conure,Sun Conure,A32,Sun Conure,CKRC339,CKRD317,6593,15-04-2022,Fertile,22-04-2022,,8,02-05-2022,6.48,04-05-2022,1.03,Normal,0.2,,,8.74
Conure,Sun Conure,B41,Sun Conure,GB2914,GB3068,6594,15-04-2022,Infertile,,,,,,,,,,,,7.54
Parrot,Sun Conure,A43,Caique,CKR30,CKRB196,6595,15-04-2022,Fertile,22-04-2022,,,,,,,,,,,11.54
