Aviary,Group,Species,Section,Rawmaterial,Target,Actualtype
Garden,Lory,Red Lory , ,,,
,,,MORNING,WhiteChanna(g),0.2, 
,,,,BlackChanna(g),0.2, 
,,,,GreenGram(g),, 
,,,,Guava(Kg)-100g,, 
,,,,Papaya(Kg)-0,, 
,,, ,Carrot(Kg)-100g,, 
,,,,Beetroot(Kg)-k0,, 
,,,,GreenPeas,0.05, 
,,,,SoyaPeas,0.05, 
,,,,SoyaPeas,2-3L, 
,,,,Waterquantityforboiling(L),300to1L, 
,,,,Waterquantityformixing(L),0.2, 
,,,,,,
,,,AFTERNOON,WhiteChanna(g),0.1, 
 , , ,,BlackChanna(g),0.1, 
,,,,GreenGram(g),0.2, 
,,,,Guava(Kg)-100g,, 
,,,,Papaya(Kg)-0,, 
,,, ,Carrot(Kg)-100g,, 
,,,,Beetroot(Kg)-k0,0.05, 
,,,,GreenPeas,0.05, 
,,,,SoyaPeas,2-3L, 
,,,,Waterquantityforboiling(L),300to1L, 
,,,,Waterquantityformixing(L),5-10L, 
,,,,,,
Garden,LORY,Black Capped Lory,,,,
,,,MORNING,WhiteChanna(g),0.2, 
,,,,BlackChanna(g),0.2, 
,,,,GreenGram(g),, 
,,,,Guava(Kg)-100g,, 
,,,,Papaya(Kg)-0,, 
,,,,Carrot(Kg)-100g,, 
,,, ,Beetroot(Kg)-k0,, 
,,,,GreenPeas,0.05, 
,,,,SoyaPeas,0.05, 
,,,,SoyaPeas,2-3L, 
,,,,Waterquantityforboiling(L),300to1L, 
,,,,Waterquantityformixing(L),0.2, 
,,,,,,
 , , ,AFTERNOON,WhiteChanna(g),0.1, 
,,,,BlackChanna(g),0.1, 
,,,,GreenGram(g),0.2, 
,,,,Guava(Kg)-100g,, 
,,,,Papaya(Kg)-0,, 
,,,,Carrot(Kg)-100g,, 
,,,,Beetroot(Kg)-k0,0.05, 
,,, ,GreenPeas,0.05, 
,,,,SoyaPeas,2-3L, 
,,,,Waterquantityforboiling(L),300to1L, 
,,,,Waterquantityformixing(L),5-10L, 
,,,,,,
Garden,LORY,Yellow Bibbed Lory, , , , 
,,,MORNING,WhiteChanna(g),0.2, 
,,,,BlackChanna(g),0.2, 
,,,,GreenGram(g),, 
,,,,Guava(Kg)-100g,, 
,,, ,Papaya(Kg)-0,, 
,,,,Carrot(Kg)-100g,, 
,,,,Beetroot(Kg)-k0,, 
,,,,GreenPeas,0.05, 
,,,,SoyaPeas,0.05, 
,,,,SoyaPeas,2-3L, 
,,,,Waterquantityforboiling(L),300to1L, 
,,,,Waterquantityformixing(L),0.2, 
,,,,,,
 , , ,AFTERNOON,WhiteChanna(g),0.1, 
,,,,BlackChanna(g),0.1, 
,,,,GreenGram(g),0.2, 
,,,,Guava(Kg)-100g,, 
,,,,Papaya(Kg)-0,, 
,,, ,Carrot(Kg)-100g,, 
,,,,Beetroot(Kg)-k0,0.05, 
,,,,GreenPeas,0.05, 
,,,,SoyaPeas,2-3L, 
,,,,Waterquantityforboiling(L),300to1L, 
,,,,Waterquantityformixing(L),5-10L, 
 , , , , , , 
Garden,LORY,Red Lory ,,,, 
,,,MORNING,WhiteChanna(g),0.2, 
,,,,BlackChanna(g),0.2, 
,,,,GreenGram(g),, 
,,,,Guava(Kg)-100g,, 
,,, ,Papaya(Kg)-0,, 
,,,,Carrot(Kg)-100g,, 
,,,,Beetroot(Kg)-k0,, 
,,,,GreenPeas,0.05, 
,,,,SoyaPeas,0.05, 
,,,,SoyaPeas,2-3L, 
,,,,Waterquantityforboiling(L),300to1L, 
,,,,Waterquantityformixing(L),0.2, 
,,,,,,
 , , ,AFTERNOON,WhiteChanna(g),0.1, 
,,,,BlackChanna(g),0.1, 
,,,,GreenGram(g),0.2, 
,,,,Guava(Kg)-100g,, 
,,,,Papaya(Kg)-0,, 
,,, ,Carrot(Kg)-100g,, 
,,,,Beetroot(Kg)-k0,0.05, 
,,,,GreenPeas,0.05, 
,,,,SoyaPeas,2-3L, 
,,,,Waterquantityforboiling(L),300to1L, 
,,,,Waterquantityformixing(L),5-10L, 
 , , , , , , 
Garden,LORY,Chattering Lory,,,, 
,,,MORNING,WhiteChanna(g),0.2, 
,,,,BlackChanna(g),0.2, 
,,,,GreenGram(g),, 
,,,,Guava(Kg)-100g,, 
,,, ,Papaya(Kg)-0,, 
,,,,Carrot(Kg)-100g,, 
,,,,Beetroot(Kg)-k0,, 
,,,,GreenPeas,0.05, 
,,,,SoyaPeas,0.05, 
,,,,SoyaPeas,2-3L, 
 , , ,,Waterquantityforboiling(L),300to1L, 
,,,,Waterquantityformixing(L),0.2, 
,,,,,,
,,,AFTERNOON,WhiteChanna(g),0.1, 
,,,,BlackChanna(g),0.1, 
,,,,GreenGram(g),0.2, 
,,,,Guava(Kg)-100g,, 
,,,,Papaya(Kg)-0,, 
,,, ,Carrot(Kg)-100g,, 
,,,,Beetroot(Kg)-k0,0.05, 
,,,,GreenPeas,0.05, 
,,,,SoyaPeas,2-3L, 
,,,,Waterquantityforboiling(L),300to1L, 
,,,,Waterquantityformixing(L),5-10L, 
,,,, , , 
Sales,LORY,Black Capped Chatting Lory, , , , 
,,,MORNING,WhiteChanna(g),0.2, 
,,,,BlackChanna(g),0.2, 
,,,,GreenGram(g),, 
,,,,Guava(Kg)-100g,, 
,,, ,Papaya(Kg)-0,, 
,,,,Carrot(Kg)-100g,, 
,,,,Beetroot(Kg)-k0,, 
,,,,GreenPeas,0.05, 
,,,,SoyaPeas,0.05, 
,,,,SoyaPeas,2-3L, 
,,,,Waterquantityforboiling(L),300to1L, 
 , , ,,Waterquantityformixing(L),0.2, 
,,,,,,
,,,AFTERNOON,WhiteChanna(g),0.1, 
,,,,BlackChanna(g),0.1, 
,,,,GreenGram(g),0.2, 
,,,,Guava(Kg)-100g,, 
,,,,Papaya(Kg)-0,, 
,,, ,Carrot(Kg)-100g,, 
,,,,Beetroot(Kg)-k0,0.05, 
,,,,GreenPeas,0.05, 
,,,,SoyaPeas,2-3L, 
,,,,Waterquantityforboiling(L),300to1L, 
,,,,Waterquantityformixing(L),5-10L, 
 , , , , , , 
Sales,LORY,Black Capped Lory, , , , 
,,,MORNING,WhiteChanna(g),0.2, 
,,,,BlackChanna(g),0.2, 
,,,,GreenGram(g),, 
,,,,Guava(Kg)-100g,, 
,,, ,Papaya(Kg)-0,, 
,,,,Carrot(Kg)-100g,, 
,,,,Beetroot(Kg)-k0,, 
,,,,GreenPeas,0.05, 
,,,,SoyaPeas,0.05, 
,,,,SoyaPeas,2-3L, 
,,,,Waterquantityforboiling(L),300to1L, 
 , , ,,Waterquantityformixing(L),0.2, 
,,,,,,
,,,AFTERNOON,WhiteChanna(g),0.1, 
,,,,BlackChanna(g),0.1, 
,,,,GreenGram(g),0.2, 
,,,,Guava(Kg)-100g,, 
,,,,Papaya(Kg)-0,, 
,,, ,Carrot(Kg)-100g,, 
,,,,Beetroot(Kg)-k0,0.05, 
,,,,GreenPeas,0.05, 
,,,,SoyaPeas,2-3L, 
,,,,Waterquantityforboiling(L),300to1L, 
,,,,Waterquantityformixing(L),5-10L, 
,,,,,,
Garden,Conure,Golden Conure, , , , 
,,,MORNING,WhiteChanna,0.3, 
,,,,BlackChanna,0.05, 
,,,,GreenGram,0.05, 
,,,,Guava-2kg,4, 
,,, ,Papaya-2kg,, 
,,,,Egg-Amazon(3eggs),0.125, 
,,,,Egg-ParrotAruvi(10eggs),.200g, 
 , , ,,Egg-cockatoo(16eggs),0.56, 
,,,,solai-macaw(5eggs),.200g, 
,,,,thendral&solaimacaw(21eggs)consecutivedays(15eggs),.330g, 
,,,,Waterquantityforboiling,3-5L, 
,,,,Waterquantityformixing,500ML, 
,,,,,,
,,,AFTERNOON,Sunflowerseeds(Kg),3.7, 
,,, ,Waterquantityforboiling,5-10L, 
,,,, , , 
Garden,Conure,Sun Conure, , , , 
,,,MORNING,WhiteChanna,0.3, 
,,,,BlackChanna,0.05, 
,,,,GreenGram,0.05, 
,,,,Guava-2kg,4, 
,,, ,Papaya-2kg,, 
,,,,Egg-Amazon(3eggs),0.125, 
,,,,Egg-ParrotAruvi(10eggs),.200g, 
 , , ,,Egg-cockatoo(16eggs),0.56, 
,,,,solai-macaw(5eggs),.200g, 
,,,,thendral&solaimacaw(21eggs)consecutivedays(15eggs),.330g, 
,,,,Waterquantityforboiling,3-5L, 
,,,,Waterquantityformixing,500ML, 
,,,,,,
,,,AFTERNOON,Sunflowerseeds(Kg),3.7, 
,,, ,Waterquantityforboiling,5-10L, 
,,,, , , 
Sales,Conure,Crimson Bellied Conure, , , , 
,,,MORNING,WhiteChanna,0.3, 
,,,,BlackChanna,0.05, 
,,,,GreenGram,0.05, 
,,,,Guava-2kg,4, 
,,, ,Papaya-2kg,, 
,,,,Egg-Amazon(3eggs),0.125, 
,,,,Egg-ParrotAruvi(10eggs),.200g, 
 , , ,,Egg-cockatoo(16eggs),0.56, 
,,,,solai-macaw(5eggs),.200g, 
,,,,thendral&solaimacaw(21eggs)consecutivedays(15eggs),.330g, 
,,,,Waterquantityforboiling,3-5L, 
,,,,Waterquantityformixing,500ML, 
,,,,,,
,,,AFTERNOON,Sunflowerseeds(Kg),3.7, 
,,, ,Waterquantityforboiling,5-10L, 
 , , , , , , 
Sales,Conure,Nanday Conure, , , , 
,,,MORNING,WhiteChanna,0.3, 
,,,,BlackChanna,0.05, 
,,,,GreenGram,0.05, 
,,,,Guava-2kg,4, 
,,, ,Papaya-2kg,, 
,,,,Egg-Amazon(3eggs),0.125, 
,,,,Egg-ParrotAruvi(10eggs),.200g, 
 , , ,,Egg-cockatoo(16eggs),0.56, 
,,,,solai-macaw(5eggs),.200g, 
,,,,thendral&solaimacaw(21eggs)consecutivedays(15eggs),.330g, 
,,,,Waterquantityforboiling,3-5L, 
,,,,Waterquantityformixing,500ML, 
,,,,,,
,,,AFTERNOON,Sunflowerseeds(Kg),3.7, 
,,, ,Waterquantityforboiling,5-10L, 
,,,, , , 
Sales,Conure,Nansun Conure, , , , 
,,,MORNING,WhiteChanna,0.3, 
,,,,BlackChanna,0.05, 
,,,,GreenGram,0.05, 
,,,,Guava-2kg,4, 
,,, ,Papaya-2kg,, 
,,,,Egg-Amazon(3eggs),0.125, 
,,,,Egg-ParrotAruvi(10eggs),.200g, 
 , , ,,Egg-cockatoo(16eggs),0.56, 
,,,,solai-macaw(5eggs),.200g, 
,,,,thendral&solaimacaw(21eggs)consecutivedays(15eggs),.330g, 
,,,,Waterquantityforboiling,3-5L, 
,,,,Waterquantityformixing,500ML, 
,,,,,,
,,,AFTERNOON,Sunflowerseeds(Kg),3.7, 
,,, ,Waterquantityforboiling,5-10L, 
,,,, , , 
Sales,Conure,Redmask Conure, , , , 
,,,MORNING,WhiteChanna,0.3, 
,,,,BlackChanna,0.05, 
,,,,GreenGram,0.05, 
,,,,Guava-2kg,4, 
,,, ,Papaya-2kg,, 
,,,,Egg-Amazon(3eggs),0.125, 
,,,,Egg-ParrotAruvi(10eggs),.200g, 
 , , ,,Egg-cockatoo(16eggs),0.56, 
,,,,solai-macaw(5eggs),.200g, 
,,,,thendral&solaimacaw(21eggs)consecutivedays(15eggs),.330g, 
,,,,Waterquantityforboiling,3-5L, 
,,,,Waterquantityformixing,500ML, 
,,,,,,
,,,AFTERNOON,Sunflowerseeds(Kg),3.7, 
,,, ,Waterquantityforboiling,5-10L, 
,,,, , , 
Sales,Conure,Sun&Janday Conure, , , , 
,,,MORNING,WhiteChanna,0.3, 
,,,,BlackChanna,0.05, 
,,,,GreenGram,0.05, 
,,,,Guava-2kg,4, 
,,, ,Papaya-2kg,, 
,,,,Egg-Amazon(3eggs),0.125, 
,,,,Egg-ParrotAruvi(10eggs),.200g, 
 , , ,,Egg-cockatoo(16eggs),0.56, 
,,,,solai-macaw(5eggs),.200g, 
,,,,thendral&solaimacaw(21eggs)consecutivedays(15eggs),.330g, 
,,,,Waterquantityforboiling,3-5L, 
,,,,Waterquantityformixing,500ML, 
,,,,,,
,,,AFTERNOON,Sunflowerseeds(Kg),3.7, 
,,, ,Waterquantityforboiling,5-10L, 
 , , , , , , 
Sales,Conure,Sun Conure, , , , 
,,,MORNING,WhiteChanna,0.3, 
,,,,BlackChanna,0.05, 
,,,,GreenGram,0.05, 
,,,,Guava-2kg,4, 
,,, ,Papaya-2kg,, 
,,,,Egg-Amazon(3eggs),0.125, 
,,,,Egg-ParrotAruvi(10eggs),.200g, 
 , , ,,Egg-cockatoo(16eggs),0.56, 
,,,,solai-macaw(5eggs),.200g, 
,,,,thendral&solaimacaw(21eggs)consecutivedays(15eggs),.330g, 
,,,,Waterquantityforboiling,3-5L, 
,,,,Waterquantityformixing,500ML, 
,,,,,,
,,,AFTERNOON,Sunflowerseeds(Kg),3.7, 
,,, ,Waterquantityforboiling,5-10L, 
,,,,,,
Garden,Lorikeet,Green Napped Lorikeet,, , , 
 , , ,MORNING,WhiteChanna(g),0.2, 
,,,,BlackChanna(g),0.2, 
,,,,GreenGram(g),, 
,,,,Guava(Kg)-100g,, 
,,,,Papaya(Kg)-0,, 
,,, ,Carrot(Kg)-100g,, 
,,,,Beetroot(Kg)-k0,, 
,,,,GreenPeas,0.05, 
,,,,SoyaPeas,0.05, 
,,,,SoyaPeas,2-3L, 
,,,,Waterquantityforboiling(L),300to1L, 
,,,,Waterquantityformixing(L),0.2, 
,,,,,,
,,,AFTERNOON,WhiteChanna(g),0.1, 
 , , ,,BlackChanna(g),0.1, 
,,,,GreenGram(g),0.2, 
,,,,Guava(Kg)-100g,, 
,,,,Papaya(Kg)-0,, 
,,, ,Carrot(Kg)-100g,, 
,,,,Beetroot(Kg)-k0,0.05, 
,,,,GreenPeas,0.05, 
,,,,SoyaPeas,2-3L, 
,,,,Waterquantityforboiling(L),300to1L, 
,,,,Waterquantityformixing(L),5-10L, 
,,,,,,
Garden,Lorikeet,Oliveswainson Lorikeet, , , , 
 , , ,MORNING,WhiteChanna(g),0.2, 
,,,,BlackChanna(g),0.2, 
,,,,GreenGram(g),, 
,,,,Guava(Kg)-100g,, 
,,,,Papaya(Kg)-0,, 
,,, ,Carrot(Kg)-100g,, 
,,,,Beetroot(Kg)-k0,, 
,,,,GreenPeas,0.05, 
,,,,SoyaPeas,0.05, 
,,,,SoyaPeas,2-3L, 
,,,,Waterquantityforboiling(L),300to1L, 
,,,,Waterquantityformixing(L),0.2, 
,,,,,,
,,,AFTERNOON,WhiteChanna(g),0.1, 
 , , ,,BlackChanna(g),0.1, 
,,,,GreenGram(g),0.2, 
,,,,Guava(Kg)-100g,, 
,,,,Papaya(Kg)-0,, 
,,, ,Carrot(Kg)-100g,, 
,,,,Beetroot(Kg)-k0,0.05, 
,,,,GreenPeas,0.05, 
,,,,SoyaPeas,2-3L, 
,,,,Waterquantityforboiling(L),300to1L, 
,,,,Waterquantityformixing(L),5-10L, 
 , , , , , , 
Garden,Lorikeet,Redcollar Lorikeet,,,,
 , , ,MORNING,WhiteChanna(g),0.2, 
,,,,BlackChanna(g),0.2, 
,,,,GreenGram(g),, 
,,,,Guava(Kg)-100g,, 
,,,,Papaya(Kg)-0,, 
,,, ,Carrot(Kg)-100g,, 
,,,,Beetroot(Kg)-k0,, 
,,,,GreenPeas,0.05, 
,,,,SoyaPeas,0.05, 
,,,,SoyaPeas,2-3L, 
,,,,Waterquantityforboiling(L),300to1L, 
,,,,Waterquantityformixing(L),0.2, 
,,,,,,
,,,AFTERNOON,WhiteChanna(g),0.1, 
 , , ,,BlackChanna(g),0.1, 
,,,,GreenGram(g),0.2, 
,,,,Guava(Kg)-100g,, 
,,,,Papaya(Kg)-0,, 
,,, ,Carrot(Kg)-100g,, 
,,,,Beetroot(Kg)-k0,0.05, 
,,,,GreenPeas,0.05, 
,,,,SoyaPeas,2-3L, 
,,,,Waterquantityforboiling(L),300to1L, 
,,,,Waterquantityformixing(L),5-10L, 
,,,,,,
Garden,Lorikeet,Swainson Lorikeet, , , , 
 , , ,MORNING,WhiteChanna(g),0.2, 
,,,,BlackChanna(g),0.2, 
,,,,GreenGram(g),, 
,,,,Guava(Kg)-100g,, 
,,,,Papaya(Kg)-0,, 
,,, ,Carrot(Kg)-100g,, 
,,,,Beetroot(Kg)-k0,, 
,,,,GreenPeas,0.05, 
,,,,SoyaPeas,0.05, 
,,,,SoyaPeas,2-3L, 
,,,,Waterquantityforboiling(L),300to1L, 
,,,,Waterquantityformixing(L),0.2, 
,,,,,,
,,,AFTERNOON,WhiteChanna(g),0.1, 
 , , ,,BlackChanna(g),0.1, 
,,,,GreenGram(g),0.2, 
,,,,Guava(Kg)-100g,, 
,,,,Papaya(Kg)-0,, 
,,, ,Carrot(Kg)-100g,, 
,,,,Beetroot(Kg)-k0,0.05, 
,,,,GreenPeas,0.05, 
,,,,SoyaPeas,2-3L, 
,,,,Waterquantityforboiling(L),300to1L, 
,,,,Waterquantityformixing(L),5-10L, 
,,,,,,
Garden,Lorikeet,Olive Red Coller Lorikeet, , , , 
 , , ,MORNING,WhiteChanna(g),0.2, 
,,,,BlackChanna(g),0.2, 
,,,,GreenGram(g),, 
,,,,Guava(Kg)-100g,, 
,,,,Papaya(Kg)-0,, 
,,, ,Carrot(Kg)-100g,, 
,,,,Beetroot(Kg)-k0,, 
,,,,GreenPeas,0.05, 
,,,,SoyaPeas,0.05, 
,,,,SoyaPeas,2-3L, 
,,,,Waterquantityforboiling(L),300to1L, 
,,,,Waterquantityformixing(L),0.2, 
,,,,,,
,,,AFTERNOON,WhiteChanna(g),0.1, 
 , , ,,BlackChanna(g),0.1, 
,,,,GreenGram(g),0.2, 
,,,,Guava(Kg)-100g,, 
,,,,Papaya(Kg)-0,, 
,,, ,Carrot(Kg)-100g,, 
,,,,Beetroot(Kg)-k0,0.05, 
,,,,GreenPeas,0.05, 
,,,,SoyaPeas,2-3L, 
,,,,Waterquantityforboiling(L),300to1L, 
,,,,Waterquantityformixing(L),5-10L, 
,,,,,,
Aruvi,Amazon,Cuban Amazon, , , , 
,,,MORNING,WhiteChanna,0.3, 
,,,,BlackChanna,0.05, 
,,,,GreenGram,0.05, 
,,,,Guava-2kg,4, 
,,, ,Papaya-2kg,, 
,,,,Egg-Amazon(3eggs),0.125, 
,,,,Egg-ParrotAruvi(10eggs),.200g, 
 , , ,,Egg-cockatoo(16eggs),0.56, 
,,,,solai-macaw(5eggs),.200g, 
,,,,thendral&solaimacaw(21eggs)consecutivedays(15eggs),.330g, 
,,,,Waterquantityforboiling,3-5L, 
,,,,Waterquantityformixing,500ML, 
,,,,,,
,,,AFTERNOON,Sunflowerseeds(Kg),3.7, 
,,, ,Waterquantityforboiling,5-10L, 
,,,,,,
Aruvi,Amazon,Red Lored Amazon, , , , 
,,,MORNING,WhiteChanna,0.3, 
,,,,BlackChanna,0.05, 
,,,,GreenGram,0.05, 
,,,,Guava-2kg,4, 
,,, ,Papaya-2kg,, 
,,,,Egg-Amazon(3eggs),0.125, 
,,,,Egg-ParrotAruvi(10eggs),.200g, 
 , , ,,Egg-cockatoo(16eggs),0.56, 
,,,,solai-macaw(5eggs),.200g, 
,,,,thendral&solaimacaw(21eggs)consecutivedays(15eggs),.330g, 
,,,,Waterquantityforboiling,3-5L, 
,,,,Waterquantityformixing,500ML, 
,,,,,,
,,,AFTERNOON,Sunflowerseeds(Kg),3.7, 
,,, ,Waterquantityforboiling,5-10L, 
,,,,,,
Aruvi,Amazon,Blue Fronted Amazon, , , , 
,,,MORNING,WhiteChanna,0.3, 
,,,,BlackChanna,0.05, 
,,,,GreenGram,0.05, 
,,,,Guava-2kg,4, 
,,, ,Papaya-2kg,, 
,,,,Egg-Amazon(3eggs),0.125, 
,,,,Egg-ParrotAruvi(10eggs),.200g, 
 , , ,,Egg-cockatoo(16eggs),0.56, 
,,,,solai-macaw(5eggs),.200g, 
,,,,thendral&solaimacaw(21eggs)consecutivedays(15eggs),.330g, 
,,,,Waterquantityforboiling,3-5L, 
,,,,Waterquantityformixing,500ML, 
,,,,,,
,,,AFTERNOON,Sunflowerseeds(Kg),3.7, 
,,, ,Waterquantityforboiling,5-10L, 
 , , , , , , 
Aruvi,Amazon,Double Yellow Headed Amazon, , , , 
,,,MORNING,WhiteChanna,0.3, 
,,,,BlackChanna,0.05, 
,,,,GreenGram,0.05, 
,,,,Guava-2kg,4, 
,,, ,Papaya-2kg,, 
,,,,Egg-Amazon(3eggs),0.125, 
,,,,Egg-ParrotAruvi(10eggs),.200g, 
 , , ,,Egg-cockatoo(16eggs),0.56, 
,,,,solai-macaw(5eggs),.200g, 
,,,,thendral&solaimacaw(21eggs)consecutivedays(15eggs),.330g, 
,,,,Waterquantityforboiling,3-5L, 
,,,,Waterquantityformixing,500ML, 
,,,,,,
